method,initial,meta_lr,env,seed,score,step,aggregate,episodes,selected,candidate_runs,branch,backend,run_id,code_commit,log_commit,rel_path,source_path,eval_file,eval_line,score_field,evaluated_at
iql_amo,1,0.002,antmaze-umaze-v2,0,78.0,1000000,True,50,True,1,ext_csv,jax,amu_s0_beta1_Tlr0p002__ce34a525,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-umaze-v2/2e-3/seed_0/amu_s0_beta1_Tlr0p002__ce34a525,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-u_b1_rho2em3_s0,eval.jsonl,1,normalized_score,2026-09-18T23:05:38.330089+00:00
iql_amo,1,0.002,antmaze-umaze-v2,1,,,False,,True,1,ext_csv,jax,amu_s1_beta1_Tlr0p002__9ebd3ddd,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-umaze-v2/2e-3/seed_1/amu_s1_beta1_Tlr0p002__9ebd3ddd,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-u_b1_rho2em3_s1,,,,
iql_amo,1,0.001,antmaze-umaze-v2,0,86.0,1000000,True,50,True,1,ext_csv,jax,amu_s0_beta1_Tlr0p001__84bdd3cc,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-umaze-v2/1e-3/seed_0/amu_s0_beta1_Tlr0p001__84bdd3cc,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-u_b1_rho1em3_s0,eval.jsonl,1,normalized_score,2026-09-18T23:06:02.492639+00:00
iql_amo,1,0.001,antmaze-umaze-v2,1,,,False,,True,1,ext_csv,jax,amu_s1_beta1_Tlr0p001__d1e18fd3,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-umaze-v2/1e-3/seed_1/amu_s1_beta1_Tlr0p001__d1e18fd3,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-u_b1_rho1em3_s1,,,,
iql_amo,1,0.0003,antmaze-umaze-v2,0,84.0,1000000,True,50,True,1,ext_csv,jax,amu_s0_beta1_Tlr0p0003__1fb87079,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-umaze-v2/3e-4/seed_0/amu_s0_beta1_Tlr0p0003__1fb87079,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-u_b1_rho3em4_s0,eval.jsonl,1,normalized_score,2026-09-18T23:06:15.663437+00:00
iql_amo,1,0.0003,antmaze-umaze-v2,1,86.0,1000000,True,50,True,1,ext_csv,jax,amu_s1_beta1_Tlr0p0003__1312a354,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-umaze-v2/3e-4/seed_1/amu_s1_beta1_Tlr0p0003__1312a354,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-u_b1_rho3em4_s1,eval.jsonl,1,normalized_score,2026-09-18T23:54:09.033908+00:00
iql_amo,1,0.002,antmaze-umaze-diverse-v2,0,42.0,1000000,True,50,True,1,ext_csv,jax,amud_s0_beta1_Tlr0p002__30498850,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-umaze-diverse-v2/2e-3/seed_0/amud_s0_beta1_Tlr0p002__30498850,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-u-div_b1_rho2em3_s0,eval.jsonl,1,normalized_score,2026-09-18T23:05:21.533816+00:00
iql_amo,1,0.002,antmaze-umaze-diverse-v2,1,,,False,,True,1,ext_csv,jax,amud_s1_beta1_Tlr0p002__b8b0746e,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-umaze-diverse-v2/2e-3/seed_1/amud_s1_beta1_Tlr0p002__b8b0746e,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-u-div_b1_rho2em3_s1,,,,
iql_amo,1,0.001,antmaze-umaze-diverse-v2,0,44.0,1000000,True,50,True,1,ext_csv,jax,amud_s0_beta1_Tlr0p001__aa267ec5,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-umaze-diverse-v2/1e-3/seed_0/amud_s0_beta1_Tlr0p001__aa267ec5,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-u-div_b1_rho1em3_s0,eval.jsonl,1,normalized_score,2026-09-18T23:05:22.269356+00:00
iql_amo,1,0.001,antmaze-umaze-diverse-v2,1,,,False,,True,1,ext_csv,jax,amud_s1_beta1_Tlr0p001__23a226d2,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-umaze-diverse-v2/1e-3/seed_1/amud_s1_beta1_Tlr0p001__23a226d2,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-u-div_b1_rho1em3_s1,,,,
iql_amo,1,0.0003,antmaze-umaze-diverse-v2,0,38.0,1000000,True,50,True,1,ext_csv,jax,amud_s0_beta1_Tlr0p0003__4520c57a,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-umaze-diverse-v2/3e-4/seed_0/amud_s0_beta1_Tlr0p0003__4520c57a,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-u-div_b1_rho3em4_s0,eval.jsonl,1,normalized_score,2026-09-18T23:05:49.794550+00:00
iql_amo,1,0.0003,antmaze-umaze-diverse-v2,1,,,False,,True,1,ext_csv,jax,amud_s1_beta1_Tlr0p0003__1d1761e6,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-umaze-diverse-v2/3e-4/seed_1/amud_s1_beta1_Tlr0p0003__1d1761e6,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-u-div_b1_rho3em4_s1,,,,
iql_amo,1,0.002,antmaze-medium-play-v2,0,22.0,1000000,True,50,True,1,ext_csv,jax,ammp_s0_beta1_Tlr0p002__255bd644,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-medium-play-v2/2e-3/seed_0/ammp_s0_beta1_Tlr0p002__255bd644,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-m-p_b1_rho2em3_s0,eval.jsonl,1,normalized_score,2026-09-18T23:15:49.329927+00:00
iql_amo,1,0.001,antmaze-medium-play-v2,0,18.0,1000000,True,50,True,1,ext_csv,jax,ammp_s0_beta1_Tlr0p001__18f8dca2,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-medium-play-v2/1e-3/seed_0/ammp_s0_beta1_Tlr0p001__18f8dca2,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-m-p_b1_rho1em3_s0,eval.jsonl,1,normalized_score,2026-09-18T23:07:38.389690+00:00
iql_amo,1,0.0003,antmaze-medium-play-v2,0,34.0,1000000,True,50,True,1,ext_csv,jax,ammp_s0_beta1_Tlr0p0003__b43a7da8,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-medium-play-v2/3e-4/seed_0/ammp_s0_beta1_Tlr0p0003__b43a7da8,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-m-p_b1_rho3em4_s0,eval.jsonl,1,normalized_score,2026-09-18T23:05:44.703539+00:00
iql_amo,1,0.0003,antmaze-medium-play-v2,1,,,False,,True,1,ext_csv,jax,ammp_s1_beta1_Tlr0p0003__280dd55e,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-medium-play-v2/3e-4/seed_1/ammp_s1_beta1_Tlr0p0003__280dd55e,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-m-p_b1_rho3em4_s1,,,,
iql_amo,1,0.002,antmaze-medium-diverse-v2,0,8.0,1000000,True,50,True,1,ext_csv,jax,ammd_s0_beta1_Tlr0p002__24b1c7bb,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-medium-diverse-v2/2e-3/seed_0/ammd_s0_beta1_Tlr0p002__24b1c7bb,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-m-div_b1_rho2em3_s0,eval.jsonl,1,normalized_score,2026-09-18T23:15:46.130804+00:00
iql_amo,1,0.001,antmaze-medium-diverse-v2,0,14.000000000000002,1000000,True,50,True,1,ext_csv,jax,ammd_s0_beta1_Tlr0p001__f67db8ff,ceffa5373681e09b20d5b513091bccd4d301a4eb,0c20be742a13b514db776ca60f3c7a98d90c5754,ablation/iql_amo/antmaze-medium-diverse-v2/1e-3/seed_0/ammd_s0_beta1_Tlr0p001__f67db8ff,/raid/ext_csv/AMO_store/iql_amo_qweight_jax_beta125_rho_loco_antmaze_seeds0to3/runs/iqlamo_qw_jax_am-m-div_b1_rho1em3_s0,eval.jsonl,1,normalized_score,2026-09-18T23:16:38.439002+00:00
