method,initial,meta_lr,env,seed,score,step,aggregate,episodes,selected,candidate_runs,branch,backend,run_id,code_commit,log_commit,rel_path,source_path,eval_file,eval_line,score_field,evaluated_at
td3_amo,1,0.002,halfcheetah-medium-v2,0,57.282742094597616,1000000,True,50,True,1,ext_csv,jax,hcm_s0_ae1_ab1_Tlr0p002__59a79297,1e34514ddf70bfc8a78757d9a78b82306627164c,32edbe55c2befd86f645192b55d2156f2f8abffc,ablation/td3_amo/halfcheetah-medium-v2/2e-3/seed_0/hcm_s0_ae1_ab1_Tlr0p002__59a79297,/raid/ext_csv/AMO_store/td3_amo_jax_loco_antmaze_alpha1_alr_seeds0to3/runs/td3amo_jax_hc-m_a1_alr2em3_s0,eval.jsonl,1,normalized_score,2026-09-15T06:42:09.696944+00:00
td3_amo,1,0.002,halfcheetah-medium-v2,1,56.54649011142351,1000000,True,50,True,1,ext_csv,jax,hcm_s1_ae1_ab1_Tlr0p002__005cf501,1e34514ddf70bfc8a78757d9a78b82306627164c,32edbe55c2befd86f645192b55d2156f2f8abffc,ablation/td3_amo/halfcheetah-medium-v2/2e-3/seed_1/hcm_s1_ae1_ab1_Tlr0p002__005cf501,/raid/ext_csv/AMO_store/td3_amo_jax_loco_antmaze_alpha1_alr_seeds0to3/runs/td3amo_jax_hc-m_a1_alr2em3_s1,eval.jsonl,1,normalized_score,2026-09-15T06:42:27.747209+00:00
td3_amo,1,0.002,halfcheetah-medium-v2,2,55.92289121528613,1000000,True,50,True,1,ext_csv,jax,hcm_s2_ae1_ab1_Tlr0p002__3cfd8b5b,1e34514ddf70bfc8a78757d9a78b82306627164c,32edbe55c2befd86f645192b55d2156f2f8abffc,ablation/td3_amo/halfcheetah-medium-v2/2e-3/seed_2/hcm_s2_ae1_ab1_Tlr0p002__3cfd8b5b,/raid/ext_csv/AMO_store/td3_amo_jax_loco_antmaze_alpha1_alr_seeds0to3/runs/td3amo_jax_hc-m_a1_alr2em3_s2,eval.jsonl,1,normalized_score,2026-09-15T06:42:48.180710+00:00
td3_amo,1,0.002,halfcheetah-medium-v2,3,57.35624930745698,1000000,True,50,True,1,ext_csv,jax,hcm_s3_ae1_ab1_Tlr0p002__9478b98e,1e34514ddf70bfc8a78757d9a78b82306627164c,32edbe55c2befd86f645192b55d2156f2f8abffc,ablation/td3_amo/halfcheetah-medium-v2/2e-3/seed_3/hcm_s3_ae1_ab1_Tlr0p002__9478b98e,/raid/ext_csv/AMO_store/td3_amo_jax_loco_antmaze_alpha1_alr_seeds0to3/runs/td3amo_jax_hc-m_a1_alr2em3_s3,eval.jsonl,1,normalized_score,2026-09-15T06:43:08.707486+00:00
td3_amo,1,0.001,halfcheetah-medium-v2,0,53.732568541861944,1000000,True,50,True,2,ext_csv,jax,hcm_s0_ae1_ab1_Tlr0p001__7fd7fc5c,1e34514ddf70bfc8a78757d9a78b82306627164c,32edbe55c2befd86f645192b55d2156f2f8abffc,ablation/td3_amo/halfcheetah-medium-v2/1e-3/seed_0/hcm_s0_ae1_ab1_Tlr0p001__7fd7fc5c,/raid/ext_csv/AMO_store/td3_amo_jax_loco_antmaze_alpha1_alr_seeds0to3/runs/td3amo_jax_hc-m_a1_alr1em3_s0,eval.jsonl,1,normalized_score,2026-09-15T03:42:58.269310+00:00
td3_amo,1,0.001,halfcheetah-medium-v2,0,53.533523101138215,1000000,True,50,False,2,shchoi,jax,hcm_s0_default__ba6b566f,1e34514ddf70bfc8a78757d9a78b82306627164c,aa9e29b18841961a07cba1afe3a44a6048ce24e6,ablation/td3_amo/halfcheetah-medium-v2/1e-3/seed_0/hcm_s0_default__ba6b566f,/home/shchoi/AMO_td3-amo-bootrms/results/td3_amo_jax_a1_s03/runs/td3amo_jax_a1_tlr1em3_hc-m_s0,final_eval_50.jsonl,1,d4rl_normalized_score,2026-09-19T12:01:11.907433+00:00
td3_amo,1,0.001,halfcheetah-medium-v2,1,52.453441647053126,1000000,True,50,True,2,ext_csv,jax,hcm_s1_ae1_ab1_Tlr0p001__2fc9360b,1e34514ddf70bfc8a78757d9a78b82306627164c,32edbe55c2befd86f645192b55d2156f2f8abffc,ablation/td3_amo/halfcheetah-medium-v2/1e-3/seed_1/hcm_s1_ae1_ab1_Tlr0p001__2fc9360b,/raid/ext_csv/AMO_store/td3_amo_jax_loco_antmaze_alpha1_alr_seeds0to3/runs/td3amo_jax_hc-m_a1_alr1em3_s1,eval.jsonl,1,normalized_score,2026-09-15T04:07:18.512664+00:00
td3_amo,1,0.001,halfcheetah-medium-v2,1,52.30424582293283,1000000,True,50,False,2,shchoi,jax,hcm_s1_default__610f4c7e,1e34514ddf70bfc8a78757d9a78b82306627164c,aa9e29b18841961a07cba1afe3a44a6048ce24e6,ablation/td3_amo/halfcheetah-medium-v2/1e-3/seed_1/hcm_s1_default__610f4c7e,/home/shchoi/AMO_td3-amo-bootrms/results/td3_amo_jax_a1_s03/runs/td3amo_jax_a1_tlr1em3_hc-m_s1,final_eval_50.jsonl,1,d4rl_normalized_score,2026-09-19T16:21:23.888724+00:00
td3_amo,1,0.001,halfcheetah-medium-v2,2,52.33657343112383,1000000,True,50,False,2,ext_csv,jax,hcm_s2_ae1_ab1_Tlr0p001__fc0132c9,1e34514ddf70bfc8a78757d9a78b82306627164c,32edbe55c2befd86f645192b55d2156f2f8abffc,ablation/td3_amo/halfcheetah-medium-v2/1e-3/seed_2/hcm_s2_ae1_ab1_Tlr0p001__fc0132c9,/raid/ext_csv/AMO_store/td3_amo_jax_loco_antmaze_alpha1_alr_seeds0to3/runs/td3amo_jax_hc-m_a1_alr1em3_s2,eval.jsonl,1,normalized_score,2026-09-15T06:41:24.709092+00:00
td3_amo,1,0.001,halfcheetah-medium-v2,2,53.53448903709446,1000000,True,50,True,2,shchoi,jax,hcm_s2_default__c9d08106,1e34514ddf70bfc8a78757d9a78b82306627164c,aa9e29b18841961a07cba1afe3a44a6048ce24e6,ablation/td3_amo/halfcheetah-medium-v2/1e-3/seed_2/hcm_s2_default__c9d08106,/home/shchoi/AMO_td3-amo-bootrms/results/td3_amo_jax_a1_s03/runs/td3amo_jax_a1_tlr1em3_hc-m_s2,final_eval_50.jsonl,1,d4rl_normalized_score,2026-09-19T18:36:04.525292+00:00
