section,method,family,runs,complete_1m_runs,branches,environments,seeds,meta_lrs,initializations,backends,classification_reasons
ablation,a2pr,aspc_table1,27,27,svcho,door-cloned-v1;door-expert-v1;door-human-v1;hammer-human-v1;pen-cloned-v1;pen-expert-v1;pen-human-v1,0;1;2;3,,—,torch,adroit
ablation,aspc,benchmark,46,34,shchoi,halfcheetah-expert-v2;halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-expert-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-expert-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0,,—,torch,l3_variant
ablation,fql_amo,fql_amo_jax,49,8,ext_csv,halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,alpha_E/alpha_B=10/10,jax,initial_scale_outside_main
ablation,iql_amo,adaptive_beta,8,8,ext_csh,halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-v2,0,0.0001,beta=3.0;beta=6.0,torch,initial_beta_outside_main;meta_lr_outside_main;method_variant:adaptive_beta
ablation,iql_amo,adroit_l2highest_rho,90,90,svcho,hammer-cloned-v1;hammer-expert-v1;pen-cloned-v1;pen-expert-v1;pen-human-v1;relocate-cloned-v1;relocate-expert-v1;relocate-human-v1,0;1;2;3,0.0003;0.001;0.002,beta=1.0,jax,adroit;method_variant:adroit_l2highest_rho
ablation,iql_amo,amo_qweight,283,18,ext_csh,halfcheetah-medium-expert-v2;halfcheetah-medium-replay-v2;halfcheetah-medium-v2;hopper-medium-expert-v2;hopper-medium-replay-v2;hopper-medium-v2;walker2d-medium-expert-v2;walker2d-medium-replay-v2;walker2d-medium-v2,0;1;2;3,0.0003;0.001;0.002,beta=1.0;beta=2.0;beta=5.0,jax,method_variant:amo_qweight
ablation,iql_amo,iql_adaptive_beta,8,2,shchoi,halfcheetah-medium-replay-v2;halfcheetah-medium-v2,1;2;3,0.0003;0.002,beta=3.0,torch,initial_beta_outside_main;method_variant:iql_adaptive_beta
ablation,iql_amo,iql_amo_bpi_fixed_beta_E,24,24,svcho,antmaze-medium-diverse-v2;hopper-medium-replay-v2;walker2d-medium-replay-v2,0;1;2;3,0.002,beta=1.0;beta=5.0,jax,method_variant:iql_amo_bpi_fixed_beta_E
ablation,iql_amo,iql_amo_jax_adroit_beta1_rho,3,0,ext_csv,relocate-expert-v1,1;2;3,0.0003,beta=1.0,jax,adroit
ablation,iql_amo,iql_amo_jax_antmaze_beta5_rho,30,24,ext_csv,antmaze-large-diverse-v2;antmaze-large-play-v2;antmaze-medium-diverse-v2;antmaze-medium-play-v2;antmaze-umaze-diverse-v2;antmaze-umaze-v2,0;1;2;3,0.0003;0.001;0.002,beta=5.0,jax,method_variant:iql_amo_jax_antmaze_beta5_rho
ablation,iql_amo,iql_amo_jax_loco_beta1_rho,2,0,ext_csv,walker2d-medium-replay-v2;walker2d-medium-v2,3,0.002,beta=1.0,jax,method_variant:iql_amo_jax_loco_beta1_rho
